FIT101,LIT101,P101,P102,AIT202,AIT203,FIT201,P203,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603
1.885866,592.482537,1.0,1.0,8.431639,100.0,1.883168,1.0,1.0,1.0,10.0,1.86196,903.670873,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.710794,884.656381,1.0,1.0,1.0,1.0,1.0,7.855078,100.0,100.0,13.06565,1.721107,1.277697,0.735157,0.307419,1.0,1.0,10.0,1.159442,10.0,0.020945,1.0,1.0,1.0
1.868738,592.066653,1.0,1.0,8.432568,100.0,1.874799,1.0,1.0,1.0,10.0,1.877124,902.897795,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.710603,886.332047,1.0,1.0,1.0,1.0,1.0,7.855839,100.0,100.0,12.938425,1.720534,1.278136,0.735691,0.30737,1.0,1.0,10.0,1.167567,10.0,0.01929,1.0,1.0,1.0
1.884595,593.801928,1.0,1.0,8.43163,100.0,1.871967,1.0,1.0,1.0,10.0,1.871287,902.560704,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.710496,885.205015,1.0,1.0,1.0,1.0,1.0,7.855287,100.0,100.0,13.22344,1.720919,1.279031,0.735621,0.307699,1.0,1.0,10.0,1.162775,10.0,0.021367,1.0,1.0,1.0
1.883412,593.96831,1.0,1.0,8.431763,100.0,1.889283,1.0,1.0,1.0,10.0,1.878187,904.25622,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.709978,885.65154,1.0,1.0,1.0,1.0,1.0,7.855587,100.0,100.0,13.238731,1.719757,1.279498,0.736384,0.307671,1.0,1.0,10.0,1.164227,10.0,0.021752,1.0,1.0,1.0
1.900185,595.325262,1.0,1.0,8.43356,100.0,1.873584,1.0,1.0,1.0,10.0,1.879373,903.377937,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.710181,885.714433,1.0,1.0,1.0,1.0,1.0,7.855898,100.0,100.0,13.205156,1.721521,1.279463,0.73806,0.307699,1.0,1.0,10.0,1.166789,10.0,0.021304,1.0,1.0,1.0
1.930542,591.464174,1.0,1.0,8.432484,100.0,1.889581,1.0,1.0,1.0,10.0,1.884774,904.29949,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.710654,885.572849,1.0,1.0,1.0,1.0,1.0,7.855052,100.0,100.0,13.088764,1.72231,1.281,0.736993,0.307378,1.0,1.0,10.0,1.169748,10.0,0.021641,1.0,1.0,1.0
1.905289,592.309291,1.0,1.0,8.43266,100.0,1.907792,1.0,1.0,1.0,10.0,1.889553,904.515177,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.713971,883.955396,1.0,1.0,1.0,1.0,1.0,7.855206,100.0,100.0,13.213398,1.721022,1.280316,0.736826,0.307879,1.0,1.0,10.0,1.171531,10.0,0.02355,1.0,1.0,1.0
1.917821,593.627885,1.0,1.0,8.434207,100.0,1.909585,1.0,1.0,1.0,10.0,1.887214,904.466877,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.712749,886.378852,1.0,1.0,1.0,1.0,1.0,7.855447,100.0,100.0,13.224308,1.721463,1.279217,0.736931,0.307829,1.0,1.0,10.0,1.167136,10.0,0.022949,1.0,1.0,1.0
1.924354,593.698263,1.0,1.0,8.433326,100.0,1.901981,1.0,1.0,1.0,10.0,1.893704,905.024397,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.713858,886.698736,1.0,1.0,1.0,1.0,1.0,7.855125,100.0,100.0,13.04766,1.721771,1.279471,0.737006,0.307897,1.0,1.0,10.0,1.169369,10.0,0.022434,1.0,1.0,1.0
1.897717,595.501198,1.0,1.0,8.431582,100.0,1.900979,1.0,1.0,1.0,10.0,1.891089,904.487648,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.714186,885.905839,1.0,1.0,1.0,1.0,1.0,7.856113,100.0,100.0,13.133457,1.723227,1.281055,0.736271,0.307653,1.0,1.0,10.0,1.176038,10.0,0.027288,1.0,1.0,1.0
